Rank,Country,GDP per Capita
1,Liechtenstein,139100
2,Qatar,124500
3,Monaco,115700
4,Macau,111600
5,Luxembourg,106300
6,Bermuda,99400
7,Singapore,93900
8,Isle of Man,84600
9,Brunei,78200
10,Ireland,75500
11,Norway,71800
12,Falkland Islands (Islas Malvinas),70800
13,United Arab Emirates,67700
14,Sint Maarten,66800
15,Kuwait,66200
16,Gibraltar,61700
17,Hong Kong,61400
18,Switzerland,61400
19,United States,59500
20,San Marino,58600
21,Jersey,56600
22,Saudi Arabia,54800
23,Netherlands,53600
24,Guernsey,52500
25,Iceland,51800
26,Sweden,51500
27,Germany,50400
28,Taiwan,50300
29,Australia,50300
30,Austria,49900
31,Denmark,49900
32,Andorra,49900
33,Bahrain,48500
34,Canada,48300
35,Belgium,46600
36,Saint Pierre and Miquelon,46200
37,Oman,45200
38,Finland,44300
39,United Kingdom,44100
40,Cayman Islands,43800
41,France,43800
42,Japan,42800
43,Malta,42000
44,Greenland,41800
45,European Union,40900
46,Faroe Islands,40000
47,Korea South,39400
48,New Zealand,38900
49,Spain,38300
50,Italy,38100
51,Puerto Rico,37300
52,Virgin Islands,37000
53,Cyprus,37000
54,Israel,36300
55,Equatorial Guinea,36000
56,Guam,35600
57,Czechia,35500
58,Slovenia,34400
59,British Virgin Islands,34200
60,Montserrat,34000
61,Slovakia,33000
62,Lithuania,32300
63,Estonia,31800
64,Trinidad and Tobago,31400
65,Bahamas The,31200
66,New Caledonia,31100
67,Portugal,30400
68,Hungary,29500
69,Poland,29500
70,Turks and Caicos Islands,29100
71,Malaysia,29000
72,Seychelles,28900
73,Russia,27800
74,Greece,27700
75,Latvia,27600
76,Turkey,26900
77,Saint Kitts and Nevis,26800
78,Kazakhstan,26300
79,Antigua and Barbuda,26300
80,Panama,25400
81,Aruba,25300
82,Northern Mariana Islands,24500
83,Chile,24500
84,Romania,24500
85,Croatia,24400
86,Uruguay,22400
87,Bulgaria,21700
88,Mauritius,21600
89,Argentina,20900
90,Iran,20200
91,Mexico,19900
92,Lebanon,19400
93,Saint Martin,19300
94,Gabon,19200
95,Maldives,19100
96,Belarus,18900
97,Barbados,18700
98,Turkmenistan,18100
99,Thailand,17900
100,Botswana,17800
101,Montenegro,17700
102,Azerbaijan,17500
103,French Polynesia,17000
104,Iraq,17000
105,Costa Rica,16900
106,Dominican Republic,16900
107,Cook Islands,16700
108,China,16700
109,Palau,16200
110,Brazil,15600
111,Algeria,15200
112,Serbia,15000
113,Curacao,15000
114,Macedonia,14900
115,Grenada,14900
116,Suriname,14600
117,Colombia,14500
118,Saint Lucia,14400
119,South Africa,13500
120,Peru,13300
121,Mongolia,13000
122,Sri Lanka,12800
123,Egypt,12700
124,Bosnia and Herzegovina,12700
125,Albania,12500
126,Jordan,12500
127,Indonesia,12400
128,Cuba,12300
129,Nauru,12200
130,Anguilla,12200
131,Venezuela,12100
132,Tunisia,11800
133,Ecuador,11500
134,Saint Vincent and the Grenadines,11500
135,Namibia,11300
136,American Samoa,11200
137,Dominica,11100
138,Georgia,10700
139,Kosovo,10500
140,Libya,10000
141,Eswatini,9900
142,Paraguay,9800
143,Fiji,9800
144,Armenia,9500
145,Jamaica,9200
146,El Salvador,8900
147,Bhutan,8700
148,Ukraine,8700
149,Morocco,8600
150,Belize,8300
151,Philippines,8300
152,Guyana,8200
153,Guatemala,8100
154,Saint Helena Ascension and Tristan da Cunha,7800
155,Bolivia,7500
156,Laos,7400
157,India,7200
158,Cabo Verde,6900
159,Vietnam,6900
160,Uzbekistan,6900
161,Angola,6800
162,Congo Republic of the,6600
163,Burma,6200
164,Nigeria,5900
165,Nicaragua,5800
166,Niue,5800
167,Samoa,5700
168,Moldova,5700
169,Tonga,5600
170,Honduras,5600
171,Timor-Leste,5400
172,Pakistan,5400
173,Ghana,4700
174,Sudan,4600
175,Mauritania,4400
176,West Bank,4300
177,Bangladesh,4200
178,Zambia,4000
179,Cambodia,4000
180,Cote d'Ivoire,3900
181,Wallis and Futuna,3800
182,Tuvalu,3800
183,Cameroon,3700
184,Papua New Guinea,3700
185,Kyrgyzstan,3700
186,Lesotho,3600
187,Djibouti,3600
188,Kenya,3500
189,Marshall Islands,3400
190,Micronesia Federated States of,3400
191,Tajikistan,3200
192,Tanzania,3200
193,Sao Tome and Principe,3200
194,Syria,2900
195,Vanuatu,2700
196,Senegal,2700
197,Nepal,2700
198,Western Sahara,2500
199,Uganda,2400
200,Benin,2300
201,Zimbabwe,2300
202,Chad,2300
203,Solomon Islands,2200
204,Mali,2200
205,Ethiopia,2200
206,Rwanda,2100
207,Afghanistan,2000
208,Kiribati,2000
209,Guinea,2000
210,Burkina Faso,1900
211,Guinea-Bissau,1800
212,Haiti,1800
213,Gambia The,1700
214,Togo,1700
215,Korea North,1700
216,Comoros,1600
217,Sierra Leone,1600
218,Madagascar,1600
219,Eritrea,1600
220,South Sudan,1500
221,Liberia,1400
222,Yemen,1300
223,Malawi,1200
224,Niger,1200
225,Mozambique,1200
226,Tokelau,1000
227,Congo Democratic Republic of the,800
228,Central African Republic,700
229,Burundi,700
